,arrival_hydrophone,init_arrival_time,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time
74,h3,18037.319399131946,74,318.75,"[18037.319398981483, 18037.31939857639, 18037.319398749998, 18037.319399212964, 18037.319397905092, 18037.319397326388]",5,4,18037.319397326388
75,h3,18037.319457407408,75,140.25,"[18037.319456944446, 18037.319457534722, 18037.31945721065, 18037.31945766204, 18037.31945800926, 18037.319457187503]",5,2,18037.319457187503
76,h3,18037.319463495372,76,397.5,"[18037.31946300926, 18037.31946221065, 18037.319463298612, 18037.31946383102, 18037.319463298612, 18037.319462141204]",5,2,18037.319462141204
77,h3,18037.319576574075,77,337.125,"[18037.319576539354, 18037.31957652778, 18037.319576458336, 18037.319576932874, 18037.319577511575, 18037.319575567133]",5,2,18037.319575567133
78,h3,18037.31958107639,78,100.0,"[18037.319580960648, 18037.319581030093, 18037.319580960648, 18037.31958142361, 18037.319581875, 18037.319582685184]",2,3,18037.319580960648
79,h3,18037.319603622687,79,297.75,"[18037.319603587963, 18037.319603587963, 18037.319603506945, 18037.319603958334, 18037.319604467593, 18037.319602789354]",5,2,18037.319602789354
80,h3,18037.319668726854,80,100.875,"[18037.319668680557, 18037.319668680557, 18037.319668680557, 18037.319669131943, 18037.31966959491, 18037.319670393517]",2,3,18037.319668680557
81,h3,18037.31967513889,81,100.875,"[18037.319675092596, 18037.319675092596, 18037.319675092596, 18037.319675543982, 18037.319676006948, 18037.319676770836]",2,3,18037.319675092596
82,h3,18037.319682997684,82,392.25,"[18037.31968297454, 18037.31968297454, 18037.319682962963, 18037.319683414353, 18037.319683900463, 18037.319681828703]",5,2,18037.319681828703
83,h3,18037.319690173612,83,79.0,"[18037.319690162036, 18037.319690162036, 18037.319690162036, 18037.319690636574, 18037.319690532408, 18037.319691099536]",2,4,18037.319690162036
84,h3,18037.319693391204,84,357.25,"[18037.31969337963, 18037.31969303241, 18037.31969337963, 18037.31969383102, 18037.319691909724, 18037.319694918984]",4,2,18037.319691909724
85,h3,18037.319699247684,85,166.5,"[18037.31969922454, 18037.319698136576, 18037.319699212963, 18037.319699664353, 18037.31969900463, 18037.31969957176]",4,2,18037.31969900463
86,h3,18037.319756203706,86,104.375,"[18037.31975613426, 18037.31975613426, 18037.31975616898, 18037.319756574074, 18037.31975704861, 18037.319757824072]",2,3,18037.31975616898
87,h3,18037.31977724537,87,275.0,"[18037.319776354165, 18037.319777210647, 18037.319777175926, 18037.31977765046, 18037.31977579861, 18037.31977579861]",4,5,18037.31977579861
88,h3,18037.319788935187,88,101.75,"[18037.319788854165, 18037.319788854165, 18037.319788854165, 18037.319789293982, 18037.319789768517, 18037.31979054398]",2,3,18037.319788854165
