,id,depth,aic_t,first_hydrophone,second_hydrophone,arrival_time,first_arrival,second_arrival,dt
27,27,378.25,"[18037.31872597222, 18037.31872597222, 18037.31872597222, 18037.318726435184, 18037.31872482639, 18037.31872767361]",4,2,18037.31872482639,2019-05-21 07:38:57.825000+00:00,2019-05-21 07:38:57.924000+00:00,-0.099
28,28,345.0,"[18037.318732708332, 18037.318732708332, 18037.318732708332, 18037.318733159722, 18037.318731018517, 18037.318731018517]",4,5,18037.318731018517,2019-05-21 07:38:58.360000+00:00,2019-05-21 07:38:58.360000+00:00,0.0
29,29,336.25,"[18037.318736238427, 18037.318736261575, 18037.318736261575, 18037.318735798613, 18037.31873453704, 18037.318734652777]",4,5,18037.31873453704,2019-05-21 07:38:58.664000+00:00,2019-05-21 07:38:58.674000+00:00,-0.01
30,30,345.0,"[18037.318741678242, 18037.318741678242, 18037.318741678242, 18037.31874212963, 18037.318740092593, 18037.318740092593]",4,5,18037.318740092593,2019-05-21 07:38:59.144000+00:00,2019-05-21 07:38:59.144000+00:00,0.0
31,31,336.25,"[18037.318744039352, 18037.318744212964, 18037.318744212964, 18037.31874467593, 18037.31874425926, 18037.31874363426]",5,2,18037.31874363426,2019-05-21 07:38:59.450000+00:00,2019-05-21 07:38:59.500000+00:00,-0.05
32,32,171.75,"[18037.318750914354, 18037.318750914354, 18037.318750925926, 18037.31875136574, 18037.318751840277, 18037.318752604166]",2,3,18037.318750925926,2019-05-21 07:39:00.080000+00:00,2019-05-21 07:39:00.118000+00:00,-0.038
33,33,354.625,"[18037.31875315972, 18037.31875315972, 18037.31875315972, 18037.318753622683, 18037.31875273148, 18037.318752604166]",5,4,18037.318752604166,2019-05-21 07:39:00.225000+00:00,2019-05-21 07:39:00.236000+00:00,-0.011
34,34,170.875,"[18037.318760717593, 18037.318760717593, 18037.318760717593, 18037.318761168983, 18037.318761620372, 18037.31876241898]",2,3,18037.318760717593,2019-05-21 07:39:00.926000+00:00,2019-05-21 07:39:00.965000+00:00,-0.039
35,35,345.0,"[18037.318765740743, 18037.318765729167, 18037.318765671298, 18037.318766608798, 18037.31876556713, 18037.31876556713]",4,5,18037.31876556713,2019-05-21 07:39:01.345000+00:00,2019-05-21 07:39:01.345000+00:00,0.0
36,36,345.0,"[18037.318770381942, 18037.31877040509, 18037.31877040509, 18037.318770868053, 18037.3187690162, 18037.3187690162]",4,5,18037.3187690162,2019-05-21 07:39:01.643000+00:00,2019-05-21 07:39:01.643000+00:00,0.0
37,37,345.0,"[18037.318777291664, 18037.318776273147, 18037.318777291664, 18037.318777754626, 18037.318776215274, 18037.318776215274]",4,5,18037.318776215274,2019-05-21 07:39:02.265000+00:00,2019-05-21 07:39:02.265000+00:00,0.0
38,38,345.0,"[18037.318785416664, 18037.318785416664, 18037.318785416664, 18037.318785891202, 18037.318783854163, 18037.318783854163]",4,5,18037.318783854163,2019-05-21 07:39:02.925000+00:00,2019-05-21 07:39:02.925000+00:00,0.0
39,39,483.25,"[18037.318794699073, 18037.318793194445, 18037.318795, 18037.31879545139, 18037.31879315972, 18037.31879523148]",4,2,18037.31879315972,2019-05-21 07:39:03.729000+00:00,2019-05-21 07:39:03.888000+00:00,-0.159
40,40,170.875,"[18037.318831770837, 18037.318831770837, 18037.318831770837, 18037.318832222223, 18037.31883269676, 18037.318833472225]",2,3,18037.318831770837,2019-05-21 07:39:07.065000+00:00,2019-05-21 07:39:07.104000+00:00,-0.039
41,41,275.0,"[18037.31884653935, 18037.318846527778, 18037.318846516206, 18037.318845902777, 18037.318845902777, 18037.318845902777]",3,4,18037.318845902777,2019-05-21 07:39:08.286000+00:00,2019-05-21 07:39:08.286000+00:00,0.0
42,42,170.0,"[18037.318862037035, 18037.318862037035, 18037.318862002314, 18037.318862465276, 18037.318862939814, 18037.31886372685]",2,3,18037.318862002314,2019-05-21 07:39:09.677000+00:00,2019-05-21 07:39:09.717000+00:00,-0.04
43,43,170.875,"[18037.31886767361, 18037.31886872685, 18037.3188693287, 18037.31886978009, 18037.31887023148, 18037.31887103009]",2,3,18037.3188693287,2019-05-21 07:39:10.310000+00:00,2019-05-21 07:39:10.349000+00:00,-0.039
44,44,365.125,"[18037.31887613426, 18037.318876261575, 18037.318876041667, 18037.318876458336, 18037.318876979167, 18037.318875335648]",5,2,18037.318875335648,2019-05-21 07:39:10.829000+00:00,2019-05-21 07:39:10.890000+00:00,-0.061
45,45,176.125,"[18037.318890787035, 18037.318890787035, 18037.318890787035, 18037.31889116898, 18037.318891701387, 18037.318892488423]",2,3,18037.318890787035,2019-05-21 07:39:12.164000+00:00,2019-05-21 07:39:12.197000+00:00,-0.033
46,46,170.875,"[18037.318896076387, 18037.318896585646, 18037.31889787037, 18037.31889832176, 18037.31889878472, 18037.318899571757]",2,3,18037.31889787037,2019-05-21 07:39:12.776000+00:00,2019-05-21 07:39:12.815000+00:00,-0.039
47,47,170.875,"[18037.318902986113, 18037.31890462963, 18037.31890454861, 18037.318905, 18037.318905497687, 18037.31890625]",2,3,18037.31890454861,2019-05-21 07:39:13.353000+00:00,2019-05-21 07:39:13.392000+00:00,-0.039
